id,sensorType,sensorValue,created
847,HPO2,Off,2023-01-20 14:45:56
846,HPO1,On,2023-01-20 14:45:56
845,AirQualityScore,255,2023-01-20 14:45:46
844,AirQualityPercent,49,2023-01-20 14:45:46
843,eCO2,5331,2023-01-20 14:45:46
842,Humidity,16,2023-01-20 14:45:46
841,Pressure,101381,2023-01-20 14:45:46
840,Temperature,31.44,2023-01-20 14:45:46
839,HPO2,Off,2023-01-20 14:43:23
838,HPO1,Off,2023-01-20 14:43:23
837,HPO2,Off,2023-01-20 14:43:22
836,HPO1,Off,2023-01-20 14:43:22
835,HPO2,On,2023-01-20 14:43:20
834,HPO1,Off,2023-01-20 14:43:20
833,HPO2,On,2023-01-20 14:43:18
832,HPO1,Off,2023-01-20 14:43:18
831,AirQualityScore,265,2023-01-20 14:43:11
830,AirQualityPercent,47,2023-01-20 14:43:11
829,eCO2,6011,2023-01-20 14:43:11
828,Humidity,16,2023-01-20 14:43:11
827,Pressure,101375,2023-01-20 14:43:11
826,Temperature,31.71,2023-01-20 14:43:11
825,AirQualityScore,260,2023-01-20 14:41:52
824,AirQualityPercent,48,2023-01-20 14:41:52
823,eCO2,5661,2023-01-20 14:41:52
822,Humidity,16,2023-01-20 14:41:52
821,Pressure,101375,2023-01-20 14:41:52
820,Temperature,31.48,2023-01-20 14:41:52
819,HPO2,Off,2023-01-20 14:38:53
818,HPO1,Off,2023-01-20 14:38:53
817,HPO2,On,2023-01-20 14:37:51
816,HPO1,Off,2023-01-20 14:37:51
815,HPO2,On,2023-01-20 14:37:49
814,HPO1,Off,2023-01-20 14:37:49
813,HPO2,Off,2023-01-20 14:37:47
812,HPO1,Off,2023-01-20 14:37:47
811,HPO2,On,2023-01-20 14:37:43
810,HPO1,Off,2023-01-20 14:37:43
809,HPO2,On,2023-01-20 14:37:39
808,HPO1,Off,2023-01-20 14:37:39
807,HPO2,On,2023-01-20 14:37:36
806,HPO1,Off,2023-01-20 14:37:36
805,HPO2,Off,2023-01-20 14:37:34
804,HPO1,Off,2023-01-20 14:37:34
803,HPO2,On,2023-01-20 14:37:32
802,HPO1,Off,2023-01-20 14:37:32
801,HPO2,Off,2023-01-20 14:37:30
800,HPO1,Off,2023-01-20 14:37:30
799,HPO2,On,2023-01-20 14:37:27
798,HPO1,Off,2023-01-20 14:37:27
797,AirQualityScore,280,2023-01-20 14:37:25
796,AirQualityPercent,44,2023-01-20 14:37:25
795,eCO2,7197,2023-01-20 14:37:25
794,Humidity,14,2023-01-20 14:37:25
793,Pressure,101371,2023-01-20 14:37:25
792,Temperature,32.55,2023-01-20 14:37:25
791,HPO2,On,2023-01-20 14:36:54
790,HPO1,Off,2023-01-20 14:36:54
789,AirQualityScore,285,2023-01-20 14:36:51
788,AirQualityPercent,43,2023-01-20 14:36:51
787,eCO2,7642,2023-01-20 14:36:51
786,Humidity,13,2023-01-20 14:36:51
785,Pressure,101367,2023-01-20 14:36:51
784,Temperature,34.33,2023-01-20 14:36:51
783,AirQualityScore,275,2023-01-20 14:36:18
782,AirQualityPercent,45,2023-01-20 14:36:18
781,eCO2,6778,2023-01-20 14:36:18
780,Humidity,13,2023-01-20 14:36:18
779,Pressure,101371,2023-01-20 14:36:18
778,Temperature,35.2,2023-01-20 14:36:18
777,AirQualityScore,265,2023-01-20 14:35:00
776,AirQualityPercent,47,2023-01-20 14:35:00
775,eCO2,6011,2023-01-20 14:35:00
774,Humidity,13,2023-01-20 14:35:00
773,Pressure,101365,2023-01-20 14:35:00
772,Temperature,33.95,2023-01-20 14:35:00
771,Servo,26,2023-01-20 14:02:21
770,Servo,117,2023-01-20 14:02:19
769,ADC3,545,2023-01-20 14:02:16
768,ADC2,621,2023-01-20 14:02:16
767,ADC1,551,2023-01-20 14:02:16
766,ADC0,531,2023-01-20 14:02:16
765,AirQualityScore,305,2023-01-20 14:02:14
764,AirQualityPercent,39,2023-01-20 14:02:14
763,eCO2,9715,2023-01-20 14:02:14
762,Humidity,14,2023-01-20 14:02:14
761,Pressure,101299,2023-01-20 14:02:14
760,Temperature,32.46,2023-01-20 14:02:14
759,ADC3,0,2023-01-20 14:02:11
758,ADC2,617,2023-01-20 14:02:10
757,ADC1,550,2023-01-20 14:02:10
756,ADC0,530,2023-01-20 14:02:10
755,ADC3,553,2023-01-20 14:02:08
754,ADC2,618,2023-01-20 14:02:08
753,ADC1,549,2023-01-20 14:02:08
